,Label,  Text,
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
57,ham,"Sorry, I'll call later in meeting.","Sorry, I'll call later in meeting."
58,ham,Tell where you reached,Tell where you reached
59,ham,Yes..gauti and sehwag out of odi series.,Yes..gauti and sehwag out of odi series.
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
61,ham,Ha ha ha good joke. Girls are situation seekers.,Ha ha ha good joke. Girls are situation seekers.
62,ham,Its a part of checking IQ,Its a part of checking IQ
63,ham,"Sorry my roommates took forever, it ok if I come by now?","Sorry my roommates took forever, it ok if I come by now?"
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589","As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589"
66,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
68,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""","Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
69,ham,I plane to give on this month end.,I plane to give on this month end.
70,ham,Wah lucky man... Then can save money... Hee...,Wah lucky man... Then can save money... Hee...
71,ham,Finished class where are you.,Finished class where are you.
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
73,ham,K..k:)where are you?how did you performed?,K..k:)where are you?how did you performed?
74,ham,U can call me now...,U can call me now...
75,ham,I am waiting machan. Call me once you free.,I am waiting machan. Call me once you free.
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Thats cool. i am a gentleman and will treat you with dignity and respect.
77,ham,I like you peoples very much:) but am very shy pa.,I like you peoples very much:) but am very shy pa.
78,ham,Does not operate after  &lt;#&gt;  or what,Does not operate after  &lt;#&gt;  or what
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,Its not the same here. Still looking for a job. How much do Ta's earn there.
80,ham,"Sorry, I'll call later","Sorry, I'll call later"
81,ham,K. Did you call me just now ah? ,K. Did you call me just now ah? 
82,ham,Ok i am on the way to home hi hi,Ok i am on the way to home hi hi
83,ham,You will be in the place of that man,You will be in the place of that man
84,ham,Yup next stop.,Yup next stop.
85,ham,"I call you later, don't have network. If urgnt, sms me.","I call you later, don't have network. If urgnt, sms me."
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
88,ham,I'm really not up to it still tonight babe,I'm really not up to it still tonight babe
89,ham,"Ela kano.,il download, come wen ur free..","Ela kano.,il download, come wen ur free.."
90,ham,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
95,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML","Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML"
96,ham,Watching telugu movie..wat abt u?,Watching telugu movie..wat abt u?
97,ham,i see. When we finish we have loads of loans to pay,i see. When we finish we have loads of loans to pay
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""","Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""
99,ham,Please don't text me anymore. I have nothing else to say.,Please don't text me anymore. I have nothing else to say.
100,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
101,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,I'm still looking for a car to buy. And have not gone 4the driving test yet.
102,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
103,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
104,ham,Umma my life and vava umma love you lot dear,Umma my life and vava umma love you lot dear
105,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
106,ham,"Aight, I'll hit you up when I get some cash","Aight, I'll hit you up when I get some cash"
107,ham,How would my ip address test that considering my computer isn't a minecraft server,How would my ip address test that considering my computer isn't a minecraft server
108,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
109,ham,Dont worry. I guess he's busy.,Dont worry. I guess he's busy.
110,ham,What is the plural of the noun research?,What is the plural of the noun research?
111,ham,Going for dinner.msg you after.,Going for dinner.msg you after.
112,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
113,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
114,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
115,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
116,spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
117,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
118,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
119,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
120,spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
121,ham,here is my new address -apples&pairs&all that malarky,here is my new address -apples&pairs&all that malarky
122,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
123,ham,I am going to sao mu today. Will be done only at 12 ,I am going to sao mu today. Will be done only at 12 
124,ham,ÌÏ predict wat time Ì_'ll finish buying?,ÌÏ predict wat time Ì_'ll finish buying?
125,ham,"Good stuff, will do.","Good stuff, will do."
126,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
127,ham,Are you there in room.,Are you there in room.
128,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
129,ham,K..k:)how much does it cost?,K..k:)how much does it cost?
130,ham,I'm home.,I'm home.
131,ham,"Dear, will call Tmorrow.pls accomodate.","Dear, will call Tmorrow.pls accomodate."
132,ham,First answer my question.,First answer my question.
133,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone
134,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
135,ham,I only haf msn. It's yijue@hotmail.com,I only haf msn. It's yijue@hotmail.com
136,ham,He is there. You call and meet him,He is there. You call and meet him
137,ham,No no. I will check all rooms befor activities,No no. I will check all rooms befor activities
138,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
139,ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...
140,ham,"K, text me when you're on the way","K, text me when you're on the way"
141,ham,"Sir, Waiting for your mail.","Sir, Waiting for your mail."
142,ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""","A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
143,ham,I know you are. Can you pls open the back?,I know you are. Can you pls open the back?
144,ham,Yes see ya not on the dot,Yes see ya not on the dot
145,ham,Whats the staff name who is taking class for us?,Whats the staff name who is taking class for us?
146,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
147,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
148,ham,K..i deleted my contact that why?,K..i deleted my contact that why?
149,ham,Sindu got job in birla soft ..,Sindu got job in birla soft ..
150,ham,The wine is flowing and i'm i have nevering..,The wine is flowing and i'm i have nevering..
151,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
152,ham,Ok... Ur typical reply...,Ok... Ur typical reply...
153,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
154,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
155,ham,Aaooooright are you at work?,Aaooooright are you at work?
156,ham,I'm leaving my house now...,I'm leaving my house now...
157,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
158,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
159,spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
160,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
161,ham,New car and house for my parents.:)i have only new job in hand:),New car and house for my parents.:)i have only new job in hand:)
162,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
163,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
164,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu","BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
165,ham,I place all ur points on e cultures module already.,I place all ur points on e cultures module already.
166,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
167,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?","Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
168,ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,Great escape. I fancy the bridge but needs her lager. See you tomo 
169,ham,Yes :)it completely in out of form:)clark also utter waste.,Yes :)it completely in out of form:)clark also utter waste.
170,ham,"Sir, I need AXIS BANK account no and bank address.","Sir, I need AXIS BANK account no and bank address."
171,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ","Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
172,ham,What time you coming down later? ,What time you coming down later? 
173,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ","Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
174,ham,"Well, i'm gonna finish my bath now. Have a good...fine night.","Well, i'm gonna finish my bath now. Have a good...fine night."
175,ham,Let me know when you've got the money so carlos can make the call,Let me know when you've got the money so carlos can make the call
176,ham,U still going to the mall?,U still going to the mall?
177,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth","Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
178,ham,Text her. If she doesnt reply let me know so i can have her log in,Text her. If she doesnt reply let me know so i can have her log in
